id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
223;ShapeFile dos Setores censitários do município Ipojuca / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Ipojuca / PE / Nordeste;Ipojuca.zip;2000;
224;ShapeFile dos Setores censitários do município Itaboraí / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaboraí / RJ / Sudeste;Itaborai.zip;2000;
225;ShapeFile dos Setores censitários do município Itabuna / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itabuna / BA / Nordeste;Itabuna.zip;2000;
226;ShapeFile dos Setores censitários do município Itaguaí / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaguaí / RJ / Sudeste;Itaguai.zip;2000;
227;ShapeFile dos Setores censitários do município Itaguara / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaguara / MG / Sudeste;Itaguara.zip;2000;
228;ShapeFile dos Setores censitários do município Itaitinga / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaitinga / CE / Nordeste;Itaitinga.zip;2000;
229;ShapeFile dos Setores censitários do município Itanhaém / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itanhaém / SP / Sudeste;Itanhaem.zip;2000;
230;ShapeFile dos Setores censitários do município Itaparica / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaparica / BA / Nordeste;Itaparica.zip;2000;
231;ShapeFile dos Setores censitários do município Itapecerica da Serra / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itapecerica da Serra / SP / Sudeste;Itapecerica_da_Serra.zip;2000;
232;ShapeFile dos Setores censitários do município Itaperuçu / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaperuçu / PR / Sul;Itaperucu.zip;2000;
233;ShapeFile dos Setores censitários do município Itapevi / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itapevi / SP / Sudeste;Itapevi.zip;2000;
234;ShapeFile dos Setores censitários do município Itapissuma / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itapissuma / PE / Nordeste;Itapissuma.zip;2000;
235;ShapeFile dos Setores censitários do município Itaquaquecetuba / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itaquaquecetuba / SP / Sudeste;Itaquaquecetuba.zip;2000;
236;ShapeFile dos Setores censitários do município Itatiaiuçu / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itatiaiuçu / MG / Sudeste;Itatiaiucu.zip;2000;
237;ShapeFile dos Setores censitários do município Itatiba / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Itatiba / SP / Sudeste;Itatiba.zip;2000;
238;ShapeFile dos Setores censitários do município Ivoti / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Ivoti / RS / Sul;Ivoti.zip;2000;
239;ShapeFile dos Setores censitários do município Jaboatão dos Guararapes / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Jaboatão dos Guararapes / PE / Nordeste;Jaboatao_dos_Guararapes.zip;2000;
240;ShapeFile dos Setores censitários do município Jaboticatubas / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Jaboticatubas / MG / Sudeste;Jaboticatubas.zip;2000;
241;ShapeFile dos Setores censitários do município Jacareí / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Jacareí / SP / Sudeste;Jacarei.zip;2000;
242;ShapeFile dos Setores censitários do município Jaguariúna / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Jaguariúna / SP / Sudeste;Jaguariuna.zip;2000;
243;ShapeFile dos Setores censitários do município Jandira / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Jandira / SP / Sudeste;Jandira.zip;2000;
244;ShapeFile dos Setores censitários do município Japeri / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Japeri / RJ / Sudeste;Japeri.zip;2000;
245;ShapeFile dos Setores censitários do município João Pessoa / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;João Pessoa / PB / Nordeste;Joao_Pessoa.zip;2000;
246;ShapeFile dos Setores censitários do município Joinville / SC / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Joinville / SC / Sul;Joinville.zip;2000;
247;ShapeFile dos Setores censitários do município José de Freitas / PI / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;José de Freitas / PI / Nordeste;Jose_de_Freitas.zip;2000;
248;ShapeFile dos Setores censitários do município Juatuba / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Juatuba / MG / Sudeste;Juatuba.zip;2000;
249;ShapeFile dos Setores censitários do município Juazeiro / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Juazeiro / BA / Nordeste;Juazeiro.zip;2000;
250;ShapeFile dos Setores censitários do município Juazeiro do Norte / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Juazeiro do Norte / CE / Nordeste;Juazeiro_do_Norte.zip;2000;
251;ShapeFile dos Setores censitários do município Juiz de Fora / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Juiz de Fora / MG / Sudeste;Juiz_de_Fora.zip;2000;
252;ShapeFile dos Setores censitários do município Jundiaí / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Jundiaí / SP / Sudeste;Jundiai.zip;2000;
253;ShapeFile dos Setores censitários do município Juquitiba / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Juquitiba / SP / Sudeste;Juquitiba.zip;2000;
254;ShapeFile dos Setores censitários do município Lages / SC / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Lages / SC / Sul;Lages.zip;2000;
255;ShapeFile dos Setores censitários do município Lagoa Santa / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Lagoa Santa / MG / Sudeste;Lagoa_Santa.zip;2000;
256;ShapeFile dos Setores censitários do município Lapa / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Lapa / PR / Sul;Lapa.zip;2000;
257;ShapeFile dos Setores censitários do município Lauro de Freitas / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Lauro de Freitas / BA / Nordeste;Lauro_de_Freitas.zip;2000;
258;ShapeFile dos Setores censitários do município Limeira / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Limeira / SP / Sudeste;Limeira.zip;2000;
259;ShapeFile dos Setores censitários do município Londrina / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Londrina / PR / Sul;Londrina.zip;2000;
260;ShapeFile dos Setores censitários do município Lucena / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Lucena / PB / Nordeste;Lucena.zip;2000;
261;ShapeFile dos Setores censitários do município Luziânia / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Luziânia / GO / Centro-Oeste;Luziania.zip;2000;
262;ShapeFile dos Setores censitários do município Macaé / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Macaé / RJ / Sudeste;Macae.zip;2000;
263;ShapeFile dos Setores censitários do município Macaíba / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Macaíba / RN / Nordeste;Macaiba.zip;2000;
264;ShapeFile dos Setores censitários do município Macapá / AP / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Macapá / AP / Norte;Macapa.zip;2000;
265;ShapeFile dos Setores censitários do município Maceió / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Maceió / AL / Nordeste;Maceio.zip;2000;
266;ShapeFile dos Setores censitários do município Madre de Deus / BA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Madre de Deus / BA / Nordeste;Madre_de_Deus.zip;2000;
267;ShapeFile dos Setores censitários do município Magé / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Magé / RJ / Sudeste;Mage.zip;2000;
268;ShapeFile dos Setores censitários do município Mairiporã / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mairiporã / SP / Sudeste;Mairipora.zip;2000;
269;ShapeFile dos Setores censitários do município Mamanguape / PB / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mamanguape / PB / Nordeste;Mamanguape.zip;2000;
270;ShapeFile dos Setores censitários do município Manaus / AM / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Manaus / AM / Norte;Manaus.zip;2000;
271;ShapeFile dos Setores censitários do município Mandirituba / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mandirituba / PR / Sul;Mandirituba.zip;2000;
272;ShapeFile dos Setores censitários do município Marabá / PA / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Marabá / PA / Norte;Maraba.zip;2000;
273;ShapeFile dos Setores censitários do município Maracanaú / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Maracanaú / CE / Nordeste;Maracanau.zip;2000;
274;ShapeFile dos Setores censitários do município Maranguape / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Maranguape / CE / Nordeste;Maranguape.zip;2000;
275;ShapeFile dos Setores censitários do município Marechal Deodoro / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Marechal Deodoro / AL / Nordeste;Marechal_Deodoro.zip;2000;
276;ShapeFile dos Setores censitários do município Maricá / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Maricá / RJ / Sudeste;Marica.zip;2000;
277;ShapeFile dos Setores censitários do município Marília / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Marília / SP / Sudeste;Marilia.zip;2000;
278;ShapeFile dos Setores censitários do município Maringá / PR / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Maringá / PR / Sul;Maringa.zip;2000;
279;ShapeFile dos Setores censitários do município Mário Campos / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mário Campos / MG / Sudeste;Mario_Campos.zip;2000;
280;ShapeFile dos Setores censitários do município Marituba / PA / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Marituba / PA / Norte;Marituba.zip;2000;
281;ShapeFile dos Setores censitários do município Maruim / SE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Maruim / SE / Nordeste;Maruim.zip;2000;
282;ShapeFile dos Setores censitários do município Mateus Leme / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mateus Leme / MG / Sudeste;Mateus_Leme.zip;2000;
283;ShapeFile dos Setores censitários do município Matozinhos / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Matozinhos / MG / Sudeste;Matozinhos.zip;2000;
284;ShapeFile dos Setores censitários do município Mauá / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mauá / SP / Sudeste;Maua.zip;2000;
285;ShapeFile dos Setores censitários do município Mesquita / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mesquita / RJ / Sudeste;Mesquita.zip;2000;
286;ShapeFile dos Setores censitários do município Messias / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Messias / AL / Nordeste;Messias.zip;2000;
287;ShapeFile dos Setores censitários do município Mogi das Cruzes / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mogi das Cruzes / SP / Sudeste;Mogi_das_Cruzes.zip;2000;
288;ShapeFile dos Setores censitários do município Mongaguá / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mongaguá / SP / Sudeste;Mongagua.zip;2000;
289;ShapeFile dos Setores censitários do município Monte Alegre / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Monte Alegre / RN / Nordeste;Monte_Alegre.zip;2000;
290;ShapeFile dos Setores censitários do município Monte Mor / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Monte Mor / SP / Sudeste;Monte_Mor.zip;2000;
291;ShapeFile dos Setores censitários do município Montenegro / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Montenegro / RS / Sul;Montenegro.zip;2000;
292;ShapeFile dos Setores censitários do município Montes Claros / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Montes Claros / MG / Sudeste;Montes_Claros.zip;2000;
293;ShapeFile dos Setores censitários do município Moreno / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Moreno / PE / Nordeste;Moreno.zip;2000;
294;ShapeFile dos Setores censitários do município Mossoró / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Mossoró / RN / Nordeste;Mossoro.zip;2000;
295;ShapeFile dos Setores censitários do município Natal / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Natal / RN / Nordeste;Natal.zip;2000;
296;ShapeFile dos Setores censitários do município Nerópolis / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nerópolis / GO / Centro-Oeste;Neropolis.zip;2000;
297;ShapeFile dos Setores censitários do município Nilópolis / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nilópolis / RJ / Sudeste;Nilopolis.zip;2000;
298;ShapeFile dos Setores censitários do município Nísia Floresta / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nísia Floresta / RN / Nordeste;Nisia_Floresta.zip;2000;
299;ShapeFile dos Setores censitários do município Niterói / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Niterói / RJ / Sudeste;Niteroi.zip;2000;
300;ShapeFile dos Setores censitários do município Nova Friburgo / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova Friburgo / RJ / Sudeste;Nova_Friburgo.zip;2000;
301;ShapeFile dos Setores censitários do município Nova Hartz / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova Hartz / RS / Sul;Nova_Hartz.zip;2000;
302;ShapeFile dos Setores censitários do município Nova Iguaçu / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova Iguaçu / RJ / Sudeste;Nova_Iguacu.zip;2000;
303;ShapeFile dos Setores censitários do município Nova Lima / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova Lima / MG / Sudeste;Nova_Lima.zip;2000;
304;ShapeFile dos Setores censitários do município Nova Odessa / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova Odessa / SP / Sudeste;Nova_Odessa.zip;2000;
305;ShapeFile dos Setores censitários do município Nova Santa Rita / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova Santa Rita / RS / Sul;Nova_Santa_Rita.zip;2000;
306;ShapeFile dos Setores censitários do município Nova União / MG / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Nova União / MG / Sudeste;Nova_Uniao.zip;2000;
307;ShapeFile dos Setores censitários do município Novo Gama / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Novo Gama / GO / Centro-Oeste;Novo_Gama.zip;2000;
308;ShapeFile dos Setores censitários do município Novo Hamburgo / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Novo Hamburgo / RS / Sul;Novo_Hamburgo.zip;2000;
309;ShapeFile dos Setores censitários do município Olinda / PE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Olinda / PE / Nordeste;Olinda.zip;2000;
310;ShapeFile dos Setores censitários do município Osasco / SP / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Osasco / SP / Sudeste;Osasco.zip;2000;
311;ShapeFile dos Setores censitários do município Pacajus / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Pacajus / CE / Nordeste;Pacajus.zip;2000;
312;ShapeFile dos Setores censitários do município Pacatuba / CE / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Pacatuba / CE / Nordeste;Pacatuba.zip;2000;
313;ShapeFile dos Setores censitários do município Paço do Lumiar / MA / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Paço do Lumiar / MA / Nordeste;Paco_do_Lumiar.zip;2000;
314;ShapeFile dos Setores censitários do município Padre Bernardo / GO / Centro-Oeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Padre Bernardo / GO / Centro-Oeste;Padre_Bernardo.zip;2000;
315;ShapeFile dos Setores censitários do município Palmas / TO / Norte - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Palmas / TO / Norte;Palmas.zip;2000;
316;ShapeFile dos Setores censitários do município Paracambi / RJ / Sudeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Paracambi / RJ / Sudeste;Paracambi.zip;2000;
317;ShapeFile dos Setores censitários do município Paripueira / AL / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Paripueira / AL / Nordeste;Paripueira.zip;2000;
318;ShapeFile dos Setores censitários do município Parnamirim / RN / Nordeste - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Parnamirim / RN / Nordeste;Parnamirim.zip;2000;
319;ShapeFile dos Setores censitários do município Parobé / RS / Sul - 2000;Divisão Territorial, cartografia e georreferenciamento#Demografia;IBGE#Ministério das Cidades;Setores censitários 2000#Setores censitários por Município - ano 2000;;cartográfico;Parobé / RS / Sul;Parobe.zip;2000;
